kind,case,kd,M,p,xf,g
meanfield,decoy,100.0,1319,0.1393541947602213,16.191817111267596,1.1468839593726419
meanfield,iteron,100.0,1319,0.1393541947602213,16.191817111267596,0.0928506765900416
meanfield,decoy,100.0,1472,0.1260695754670604,14.425584912487352,1.1324726131404088
meanfield,iteron,100.0,1472,0.1260695754670604,14.425584912487352,0.08168289920961691
meanfield,decoy,100.0,1642,0.11396901908622177,12.862870660423596,1.1193685377532352
meanfield,iteron,100.0,1642,0.11396901908622177,12.862870660423596,0.07199146361233685
meanfield,decoy,100.0,1831,0.10296127396973692,11.477907361411212,1.1074839463207233
meanfield,iteron,100.0,1831,0.10296127396973692,11.477907361411212,0.063557990700597
meanfield,decoy,100.0,2043,0.09288330873795612,10.239400248355082,1.096645097315866
meanfield,iteron,100.0,2043,0.09288330873795612,10.239400248355082,0.056144940409067465
meanfield,decoy,100.0,2278,0.08378211418701238,9.144343881987197,1.0868991663897898
meanfield,iteron,100.0,2278,0.08378211418701238,9.144343881987197,0.049694898712566944
meanfield,decoy,100.0,2541,0.07549545653495511,8.166044944679015,1.0780659463344893
meanfield,iteron,100.0,2541,0.07549545653495511,8.166044944679015,0.044017674855476786
meanfield,decoy,100.0,2835,0.06797419179479906,7.293166261747274,1.0700857548856793
meanfield,iteron,100.0,2835,0.06797419179479906,7.293166261747274,0.03902156662354248
meanfield,decoy,100.0,3162,0.06118981506168444,6.517804774956176,1.0629203104588976
meanfield,iteron,100.0,3162,0.06118981506168444,6.517804774956176,0.03463953537453411
meanfield,decoy,300.0,5,0.39760484767220233,198.01197576163898,1.003967922556031
meanfield,iteron,300.0,5,0.39760484767220233,198.01197576163898,0.9939883597331393
meanfield,decoy,300.0,6,0.3971269942637107,197.61723803441774,1.0047537870584446
meanfield,iteron,300.0,6,0.3971269942637107,197.61723803441774,0.9927833415155566
meanfield,decoy,300.0,7,0.39664953845063455,197.22345323084556,1.005537070292738
meanfield,iteron,300.0,7,0.39664953845063455,197.22345323084556,0.9915774667738064
meanfield,decoy,300.0,8,0.3961724824543949,196.83062014036483,1.0063177690543954
meanfield,iteron,300.0,8,0.3961724824543949,196.83062014036483,0.9903707527062253
meanfield,decoy,300.0,9,0.3956958284835233,196.4387375436483,1.0070958802359724
meanfield,iteron,300.0,9,0.3956958284835233,196.4387375436483,0.9891632164948183
meanfield,decoy,300.0,10,0.3952195787336152,196.04780421266383,1.0078714008268885
meanfield,iteron,300.0,10,0.3952195787336152,196.04780421266383,0.9879548753042653
meanfield,decoy,300.0,11,0.3947437353872849,195.65781891073988,1.008644327913206
meanfield,iteron,300.0,11,0.3947437353872849,195.65781891073988,0.9867457462809349
meanfield,decoy,300.0,12,0.39426830061412066,195.26878039263056,1.009414658677406
meanfield,iteron,300.0,12,0.39426830061412066,195.26878039263056,0.9855358465519026
meanfield,decoy,300.0,13,0.3937932765706416,194.88068740458166,1.0101823903981515
meanfield,iteron,300.0,13,0.3937932765706416,194.88068740458166,0.9843251932239763
meanfield,decoy,300.0,15,0.39284446923321736,194.10733296150175,1.01171004630338
meanfield,iteron,300.0,15,0.39284446923321736,194.10733296150175,0.9819016940915327
meanfield,decoy,300.0,17,0.39189733036420116,193.33774538380857,1.0132272757724183
meanfield,iteron,300.0,17,0.39189733036420116,193.33774538380857,0.979475385296089
meanfield,decoy,300.0,19,0.3909518767410791,192.5719143419195,1.0147340604713397
meanfield,iteron,300.0,19,0.3909518767410791,192.5719143419195,0.9770464028645751
meanfield,decoy,300.0,21,0.39000812492843384,191.80982937650288,1.0162303835798556
meanfield,iteron,300.0,21,0.39000812492843384,191.80982937650288,0.9746148824083508
meanfield,decoy,300.0,23,0.3890660912768118,191.05147990063332,1.0177162297819191
meanfield,iteron,300.0,23,0.3890660912768118,191.05147990063332,0.9721809590936431
meanfield,decoy,300.0,26,0.387656297588519,189.92093626269852,1.0199253250565876
meanfield,iteron,300.0,26,0.387656297588519,189.92093626269852,0.9685258632639212
meanfield,decoy,300.0,29,0.3862504595611035,188.798736672728,1.0221107761420547
meanfield,iteron,300.0,29,0.3862504595611035,188.798736672728,0.9648661163760073
meanfield,decoy,300.0,32,0.3848486296381574,187.68484385157896,1.024272550069302
meanfield,iteron,300.0,32,0.3848486296381574,187.68484385157896,0.9612021681060777
meanfield,decoy,300.0,36,0.3829858464730453,186.21250952697036,1.027118040923094
meanfield,iteron,300.0,36,0.3829858464730453,186.21250952697036,0.956311139903574
meanfield,decoy,300.0,40,0.3811303985715016,184.75478405713994,1.0299213535857301
meanfield,iteron,300.0,40,0.3811303985715016,184.75478405713994,0.9514144863878442
meanfield,decoy,300.0,45,0.3788215788771249,182.9530289505294,1.033366155648074
meanfield,iteron,300.0,45,0.3788215788771249,182.9530289505294,0.9452873409538967
meanfield,decoy,300.0,50,0.3765246170202008,181.17376914898995,1.0367450401216933
